               program              observation         number         status
            larccld.fd                GOES_EAST        1043293           read
            larccld.fd                GOES_WEST         821872           read
           metarcld.fd                raw_METAR           5594           read
           metarcld.fd       METAR_on_MPAS_mesh        1057135      processed
          lightning.fd            raw_lightning          21294           read
          lightning.fd   lightning_on_MPAS_mesh           2193      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           64.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1057135       ingested
      cloudanalysis.fd                lightning           2193       ingested
      cloudanalysis.fd                     refl             33       ingested
