               program              observation         number         status
            larccld.fd                GOES_EAST        1043640           read
            larccld.fd                GOES_WEST         825702           read
           metarcld.fd                raw_METAR           5557           read
           metarcld.fd       METAR_on_MPAS_mesh        1058486      processed
          lightning.fd            raw_lightning          22840           read
          lightning.fd   lightning_on_MPAS_mesh           1872      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           60.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1058486       ingested
      cloudanalysis.fd                lightning           1872       ingested
      cloudanalysis.fd                     refl             33       ingested
