               program              observation         number         status
            larccld.fd                GOES_EAST        1043774           read
            larccld.fd                GOES_WEST         822405           read
           metarcld.fd                raw_METAR           5688           read
           metarcld.fd       METAR_on_MPAS_mesh        1102260      processed
          lightning.fd            raw_lightning          16762           read
          lightning.fd   lightning_on_MPAS_mesh           2583      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           60.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1102260       ingested
      cloudanalysis.fd                lightning           2583       ingested
      cloudanalysis.fd                     refl             33       ingested
