               program              observation         number         status
            larccld.fd                GOES_EAST        1042757           read
            larccld.fd                GOES_WEST         819690           read
           metarcld.fd                raw_METAR           5567           read
           metarcld.fd       METAR_on_MPAS_mesh        1097191      processed
          lightning.fd            raw_lightning          57234           read
          lightning.fd   lightning_on_MPAS_mesh           7785      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           65.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1097191       ingested
      cloudanalysis.fd                lightning           7785       ingested
      cloudanalysis.fd                     refl             33       ingested
