               program              observation         number         status
            larccld.fd                GOES_EAST        1044641           read
            larccld.fd                GOES_WEST         821407           read
           metarcld.fd                raw_METAR           5668           read
           metarcld.fd       METAR_on_MPAS_mesh        1094597      processed
          lightning.fd            raw_lightning          39678           read
          lightning.fd   lightning_on_MPAS_mesh           4126      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           65.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1094597       ingested
      cloudanalysis.fd                lightning           4126       ingested
      cloudanalysis.fd                     refl             33       ingested
