               program              observation         number         status
            larccld.fd                GOES_EAST        1036139           read
            larccld.fd                GOES_WEST         826512           read
           metarcld.fd                raw_METAR           5909           read
           metarcld.fd       METAR_on_MPAS_mesh        1067598      processed
          lightning.fd            raw_lightning          12637           read
          lightning.fd   lightning_on_MPAS_mesh           1228      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           62.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1067598       ingested
      cloudanalysis.fd                lightning           1228       ingested
      cloudanalysis.fd                     refl             33       ingested
